,articles,target_summaries,predicted_summaries
28,"हरियाणा सरकार जल्द ही 50 हजार पदों पर भर्ती करने जा रही है. हरियाणा सरकार ने बुधवार को यह घोषणा की कि जल्द ही अलग-अलग विभागों के 50 हजार खाली पदों को भरा जाएगा.

मुख्यमंत्री मनोहरलाल खट्टर ने कहा, '
अलग-अलग विभागों में 50 हजार पदों को
भरा जाना है और यह काम जल्दी ही किया जाएगा.’ उन्होंने यह भी कहा कि इनमें से 24,219 पदों की भर्ती के लिए एजेंसियों से कहा जा चुका है.
उन्होंने दावा किया कि पिछली सरकार ने अस्थाई आधार पर
भर्तियां
की थीं इसलिए बड़ी संख्या में पद खाली पड़े हैं, अभी तक 12,620
पदों के लिए
विज्ञापन निकाला जा चुका है जिनमें से 8,793 पद एजुकेशन डिपार्टमेंट में हैं. इसी तरह पुलिस विभाग के 7,200 पदों के लिए विज्ञापन जल्दी ही जारी किया जाएगा. इसके अलावा ‘समूह डी ’ के 15,000 पदों के लिए भी हर डिस्ट्रिक्ट में भर्ती की जाएगी.
खट्टर ने बताया कि हरियाणा पब्लिक सर्विस कमीशन भी ‘क्लास-I’ और ‘क्लास-II’ के पदों पर भर्ती करने की तैयारी कर रहा है. उन्होंने कहा कि इन सभी पदों पर भर्तियां योग्यता के आधार पर दी जाएंगी और इसके लिए पूरी पारदर्शी अपनाई जाएगी.
उन्होंने बताया कि राज्य सरकार ने भर्ती के लिए नए नियम बनाए हैं जिनके तहत इंटरव्यू के लिए सिर्फ 12 नंबर तय किए गए हैं. इसके साथ ही अनुभवी शिक्षकों के लिए उम्र में पांच साल की रियायत दी गई है.
-इनपुट भाषा",हरियाणा सरकार 50 हजार पदों पर करेगी भर्ती,हरियाणा सरकार जल्द ही 50 हजार पदों पर भर्ती करने जा रही है. मुख्यमंत्री मनोहरलाल खट्टर ने दावा किया है कि राज्य सरकार ने अस्थाई आधार पर यह काम शुरू कर दिया है और इसके लिए पूरी पारदर्शी अप
29,"भारत और बांग्लादेश ने आतंकवाद से मुकाबले और जल संसाधन के बेहतर प्रबंधन के तरीकों पर चर्चा की और प्रधानमंत्री नरेंद्र मोदी के पिछले साल पड़ोसी देश के दौरे के दौरान दोनों देशों के बीच दस्तखत किए गए समझौते पर गौर किया.
दो दिवसीय दौरे पर भारत आए
बांग्लादेश
के विदेश सचिव एम शाहिदुल हक ने कहा कि लक्ष्यों पर काम करने के लिए मार्च के पहले हफ्ते में दोनों देशों के समुद्री कार्यबल की पहली बैठक होगी.

सुरक्षा संबंधी कई मुद्दों पर चर्चा

अपने भारतीय समकक्ष एस जयशंकर के साथ बुधवार को समग्र बैठक करने वाले हक ने राष्ट्रीय सुरक्षा सलाहकार से मुलाकात कर सुरक्षा संबंधी कई मुद्दों पर चर्चा की. हक ने संवाददाताओं से कहा, ‘हमने मुख्य रूप से चार मुद्दों से जुड़ी चीजों पर बात की. शांति, विकास,
सुरक्षा
, सीमा प्रबंधन, तस्करी, आतंकवाद और चरमपंथ से मुकाबले पर बात की.’

सहयोग के स्तर से सभी संतुष्ट

आतंकवाद से जुड़े मुद्दे के बारे में पूछे जाने पर बांग्लादेशी राजनयिक ने अपने और भारतीय अधिकारियों के बीच हुई वार्ता का विवरण देने से इंकार कर दिया और कहा ‘
आतंकवाद
से मुकाबले सहित सहयोग के स्तर से सभी बहुत संतुष्ट हैं.’ हक ने जल संसाधन मंत्रालय में विशेष सचिव अमरजीत सिंह से भी मुलाकात की और जल तथा नदी घाटी (बेसिन) प्रबंधन पर चर्चा की.

जल बंटवारे पर उत्साहजनक बातचीत

तीस्ता नदी जल बंटवारा मुद्दे पर क्या बातचीत हुई, यह पूछे जाने पर हक ने कहा, ‘हमने जल प्रबंधन के सभी पहलुओं पर चर्चा की. मुझे यह बातचीत उत्साहजनक लगी और भारत की इच्छा और दिलचस्पी सभी पहलुओं में दिखी.’






इनपुट- भाषा","भारत दौरे पर बांग्लादेश के विदेश सचिव, आतंकवाद और जल प्रबंधन पर हुई चर्चा",भारत और बांग्लादेश के बीच समुद्री कार्यबल की पहली बैठक बुधवार को दिल्ली में हुई.
30,"दिल्‍ली में अनशन स्‍थल पर जाने से पहले ही अन्‍ना हजारे को गिरफ्तार किए जाने के बाद देशभर में आंदोलन की लहर दिखाई पड़ रही है.
देश के बुद्धिजीवी वर्ग के साथ-साथ सियासी गलियारों में भी अन्‍ना हजारे की गिरफ्तारी के विरोध और आंदोलन के समर्थन में आवाज उठ रही है. देखिए किस शख्सियत ने क्‍या-क्‍या कहा...

अन्‍ना की गिरफ्तारी लोकतंत्र पर कुठाराघात है:
नीतीश कुमार

कभी-कभी मन का तूफान बाहर के तूफान की परवाह नहीं करता. आज वही स्थिति बन गई है. अगर लोग बड़े पैमाने पर सड़क पर उतर रहे हैं, इसका यही कारण है:
अनुपम खेर

अन्‍ना हजारे वह शख्‍स है, जो मेरे लिए दिन-रात लड़ रहा है:
पूरब कोहली

यह सरकार की वजह से मचाई गई तबाही है:
चेतन भगत

अन्‍ना हजारे एक व्‍यक्ति नहीं, बल्कि आंदोलन हैं:
वरुण गांधी

देश में इमरजेंसी जैसे हालात हैं:
लालकृष्‍ण आडवाणी

अन्‍ना हजारे को फौरन रिहा करे सरकार:
मुलायम सिंह यादव

मार्च से पहले ही अन्‍ना को हिरासत में लिया जाना दुखद:
अनुपम खेर

देश में संविधान का गला घोंटा गया:
बाबा रामदेव

देश में अघोषित इमरजेंसी जैसा माहौल:
किरण बेदी

अगर हम ताकतवर लोगों को जेल में देखना चाहते हैं, तो इसके लिए सामूहिक प्रयास करना होगा:
चेतन भगत

देश में अघोषित इमरजेंसी जैसा माहौल:
किरण बेदी

अन्‍ना से केंद्र अनुशासन की उम्‍मीद करती है, वहीं गुजरात के अनुशासनहीन अफसरों को शह देती है:
नरेंद्र मोदी

सरकार तानाशाही दिखा रही है, मौलिक अधिकारों का हनन है:
प्रशांत भूषण

पुलिस की कार्रवाई शर्मनाक, सरकार आवाज को दबा रही है:
बीजेपी

यह सरकार फासिस्‍टवादी कदम:
राम माधव, आरएसएस

कानून-व्‍यवस्‍था बनाए रखना पुलिस का काम:
अंबिका सोनी

कानून तोड़ने पर की गई अन्‍ना हजारे की गिरफ्तारी:
अंबिका सोनी

पुलिस पर किसी तरह का राजनीतिक दबाव नहीं:
अंबिका सोनी",अन्‍ना की गिरफ्तारी पर किसने क्‍या कहा...,अन् ना हजारे को गिरफ्तार किए जाने के बाद देशभर में आंदोलन की लहर दिखाई पड़ रही है.
31,"नेशनल मिनरल डेवलपमेंट कॉरपोरेशन में
वैकेंसी
निकली है. इच्छुक उम्मीदवार 12 मई तक आवेदन कर सकते हैं.
पद का नाम:

मेंटेनेंस असिस्टेंट (मकेनिकल) ट्रेनी

मेंटेनेंस असिस्टेंट (इलेक्ट्रिकल) ट्रेनी

जूनियर स्टेनोग्राफर

असिस्टेंट फिजियोथेरेपिस्ट

असिस्टेंटे लैब टेक्निशियन

असिस्टेंट फार्मासिस्ट ग्रेड-III

जूनियर असिस्टेंट


इलेक्ट्रीसियन ट्रेनी

एचईएम (मैकेनिक)

इलेक्ट्रॉनिक टेक्नीशियन
पदों की संख्या:

मेंटेनेंस असिस्टेंट (मकेनिकल) ट्रेनी: 114

मेंटेनेंस असिस्टेंट (इलेक्ट्रिकल) ट्रेनी: 24

जूनियर स्टेनोग्राफर: 03

असिस्टेंट फिजियोथेरेपिस्ट: 01

असिस्टेंटे लैब टेक्निशियन: 02

असिस्टेंट फार्मासिस्ट ग्रेड-III: 01

जूनियर असिस्टेंट: 13

इलेक्ट्रीसियन ट्रेनी:
04

एचईएम (मैकेनिक): 09

इलेक्ट्रॉनिक टेक्नीशियन: 01
कुल पदों की संख्या:
172
उम्र सीमा:
30 साल
ज्यादा जानाकारी के लिए
यहां क्लिक करें
....",नेशनल मिनरल डेवलपमेंट कॉरपोरेशन में वैकेंसी,नेशनल मिनरल डेवलपमेंट कॉरपोरेशन में वैकेंसी की घोषणा कर दी गई है. इस पद के लिए उम्मीदवारों की संख्या बढ़कर 170 हो चुकी हैं.
32,"अगर आप अपना स्मार्टफोन तकिए के नीचे रखकर सोते हैं तो सावधान हो जाइए. अमेरिका के उत्तरी टेक्सास में एक 13 साल की बच्ची के सैमसंग गैलेक्सी एस-4 फोन में आग लग गई.
एरियल टोलफ्री नाम की यह बच्ची रात में अपने फोन को तकिये के नीचे रखकर सो गई. थोड़ी देर बाद उसे कुछ जलने की गंध महसूस हुई, पर इसकी अनदेखी कर वह सोती रही. लेकिन अगली बार जब उसकी आंख खुली तो फोन आग पकड़ चुका था. एरियल के पिता को शक है कि ओवरहीटिंग की वजह से फोन की बैटरी फूल गई होगी और उसने आग पकड़ ली होगी. फिलहाल फोन की यह हालत है कि वह पहचान में नहीं आ रहा है. फोन का प्लास्टिक और ग्लास पिघल चुका है.
घटना के बाद एरियल के परिवार ने सैमसंग और मीडिया से संपर्क किया. सैमसंग के प्रवक्ता ने कहा है कि उनके प्रोडक्ट पूरी तरह सुरक्षित हैं और एरियल के फोन में सैमसंग की नहीं, लोकल बैटरी लगी थी, जिसकी वजह से यह हादसा हुआ.

फोन के साथ तकिया-बिस्तर भी नया देगी कंपनी

हालांकि कंपनी इस पर सहमत है कि फोन को चार्ज करने और रखरखाव के स्तर पर लोगों को अभी और जागरुक करने की जरूरत है. इसीलिए कंपनी यूजर गाइड में चेतावनी भी छापती है, जिसमें लिखा है कि डिवाइस को बिस्तर या ऐसी किसी चीज से ढकने पर हवा का फ्लो रुक सकता है और आग लग सकती है.बहरहाल, सैमसंग ने एरियल का जला हुआ फोन मंगाया है, ताकि वह इसकी पूरी जांच कर सकें. कंपनी फोन बदलने के साथ-साथ, नया बिस्तर, चादर और तकिया देने को भी राजी हो गई है.","तकिये के नीचे रखा था सैमसंग का फोन, लग गई आग",अगर आप अपना स्मार्टफोन तकिए के नीचे रखकर सोते हैं तो सावधान हो जाइए.
33,"लोकसभा में नागा शांति समझौते पर कांग्रेस उपाध्यक्ष राहुल गांधी के बयान पर केंद्रीय गृह मंत्री राजनाथ सिंह ने नाराजगी जताई है. सिंह ने राहुल पर संसद को गुमराह करने का आरोप भी लगाया.
राहुल के बयान झूठे और तथ्यहीन

राजनाथ सिंह ने ट्वीट कर बताया कि पूर्वोत्तर में अमन के लिए नागा शांति समझौते के मुद्दे पर प्रधानमंत्री नरेंद्र मोदी के साथ मेरी कई बार अहम बैठक हो चुकी है. समझौते की प्रक्रिया अपनी गति से चल रही है. सिंह ने कहा कि मैं सदन में दिए गए
राहुल गांधी
के बयान की कड़ी निंदा करता हूं. सिंह ने ट्वीट में लिखा कि नागा शांति समझौते पर संसद में दिए गए राहुल गांधी के बयान पूरी तरह
तथ्यहीन और झूठे
हैं.
Shri Rahul Gandhi's statement on Naga Peace accord in Lok Sabha today is completely false and baseless.
— Rajnath Singh (@BJPRajnathSingh)
March 2, 2016

I had several rounds of consultations with the PM on Naga peace process. I strongly condemn Shri Rahul Gandhi's attempt to mislead the House
— Rajnath Singh (@BJPRajnathSingh)
March 2, 2016


राहुल ने कहा था- बाय बाय एकॉर्ड

इसके पहले बुधवार को लोकसभा में राहुल गांधी ने भाषण देते हुए पीएम मोदी और बीजेपी सरकार पर जमकर हमला बोला. इसी सिलसिले में राहुल ने नागा शांति समझौते में कोई बढ़ोतरी नहीं होने का आरोप भी लगाया. राहुल ने इसे
बाय-बाय एकॉर्ड
कहा था.",राहुल ने नगा समझौते पर सदन को गुमराह कियाः राजनाथ सिंह,नागा शांति समझौते पर कांग्रेस उपाध्यक्ष राहुल गांधी के बयान की केंद्रीय गृह मंत्री राजनाथ सिंह ने कड़ी निंदा की है.
34,"ऋतिक रोशन-टाइगर श्रॉफ स्‍टारर फिल्‍म वॉर अपने पोस्‍टर और टीजर के वक्‍त से ही चर्चा में है. टीजर के बाद फिल्‍म के ट्रेलर के लिए फैंस बेसब्री से इंतजार कर रहे थे. लेकिन अब फिल्‍म के डायरेक्‍टर सिद्धार्थ आनंद ने ट्रेलर लॉन्‍च इवेंट नहीं करने की अनाउंसमेंट की है.
दरअसल, फिल्‍म के ट्रेलर लॉन्‍च इवेंट को नहीं करने का फैसला सिद्धार्थ ने इसलिए किया क्‍योंकि उन्‍हें लगता है कि यह फिल्‍म के पैरामीटर पर खरा नहीं उतर पाएगी. यशराज फिल्‍म्‍स बैनर तले बनें इस फिल्‍म में ऋतिक और टाइगर के अलावा वाणी कपूर भी हैं. फिल्‍म की शूटिंग सात देशों के 15 शहरों में की गई है.










View this post on Instagram


Let me do this myself! #shooting #dnd #2october #waitforit
A post shared by
Siddharth Anand
(@itssiddharthanand) on
Feb 18, 2019 at 12:50am PST

फिल्‍म के टीजर में ही ऋतिक और टाइगर के बीच धुंआधार स्‍टंट सीन्‍स नजर आए हैं. कुछ रिपोर्ट्स के मुताबिक फिल्‍म में हॉलीवुड के दिग्‍गज एक्‍शन डायरेक्‍टर्स को स्‍टंट सीक्‍वेंस कॉरियोग्राफ करने के लिए बुलाया गया था.
एक इंटरव्‍यू में आनंद ने बताया था कि उनकी टीम ने फिल्‍म के ट्रेलर लॉन्‍च के लिए विजुअल स्‍पेक्‍टकल क्रिएट करने की बहुत कोशिश की, लेकिन अब उन्‍हें यह अंदाजा हो गया है कि यह ट्रेलर फिल्‍म के पैमाने पर खरा साबित नहीं हो पाएगा.










View this post on Instagram


This #WAR will only have one winner. @hrithikroshan ready to lose it all? #HrithikvsTiger #TeamTiger @_vaanikapoor_ @itssiddharthanand @yrf
A post shared by
Tiger Shroff
(@tigerjackieshroff) on
Aug 11, 2019 at 9:59pm PDT

उन्‍होंने कहा, ""इस तरह की फिल्‍म के लिए एक ऐसे इवेंट की जरूरत होती है जिसमें आप ऑडियंस से किए सभी वादे पूरे कर सकें और इस इवेंट के लॉजिस्‍ट‍िक्‍स प्‍वाइंट ऑफ व्‍यू के हिसाब से स्‍पेक्‍टकल क्रिएट करने में कामयाब नहीं हो पाया.""
इसी में जोड़ते हुए उन्‍होंने कहा ""इसलिए हम लोगों ने इस आइडिया को खारिज कर दिया और ऑडियंस को सिर्फ टीजर्स के विजुअल्‍स दिए हैं. हम लोग ट्रेलर के लिए बहुत एक्‍साइटेड हैं. यह फिल्‍म हमारे लिए एक बहुत बड़ी प्रॉपर्टी है और हम उम्‍मीद करते हैं कि यह फिल्‍म लोगों को पसंद आएगी.""","नहीं होगा ऋतिक-टाइगर की वॉर का ट्रेलर लॉन्‍च इवेंट, डायरेक्‍टर ने बताई वजह",ऋतिक रोशन और टाइगर श्रॉफ स् टारर फिल् म वॉर का ट्रेलर लॉन् च नहीं हो पाएगा.
35,"दिल्ली से सटे यूपी के गाजियाबाद में बच्चियों के साथ अश्लील हरकतों से लेकर रेप तक की घटनाएं रुकने का नाम नहीं ले रही हैं. ताजा घटना में एक 73 वर्षीय बुजुर्ग पर दूसरी कक्षा में पढ़ने वाली मासूम बच्ची के साथ अश्लील हरकतें करने का आरोप लगा है. परिजनों की शिकायत पर पुलिस ने आरोपी को गिरफ्तार कर लिया है.
यह शर्मनाक वारदात गाजियाबाद के मसूरी थाना इलाके की है. जहां रहने वाले 73 साल के एक बुजुर्ग ने पड़ोस में रहने वाली
मासूम बच्ची
को अपने घर बुलाया और उसके साथ गंदी हरकत की. बच्ची ने घर जाकर इस बारे में अपने माता-पिता को बताया. बच्ची की बात सुनकर घरवाले सकते में आ गए.
परिजन फौरन बच्ची को लेकर पुलिस के पास पहुंच गए और शिकायत दर्ज कराई. पुलिस ने मामले को गंभीरता से लेते हुए आरोपी बुजुर्ग को गिरफ्तार कर लिया. इस घटना के बाद बच्ची काफी सहमी हुई है. पुलिस ने पीड़ित बच्ची और आरोपी बुजुर्ग का मेडिकल कराया है.
इलाके में इस घटना को लेकर रोष बना हुआ है. हालिया दिनों में ऐसी घटनाएं बढ़ी हैं. ऐसे में ज़रूरी है कि अभिभावक अपने बच्चों का ख्याल रखें और उनकी किसी भी
शिकायत
को ध्यान से सुनें. ताकि उनके साथ होने वाली गलत हरकतों को रोका जा सके.",मासूम बच्ची के साथ 'गंदी बात' करने वाला 73 साल का बुजुर्ग गिरफ्तार,उत्तर प्रदेश में बच्चियों के साथ अश्लील हरकतों की घटनाएं रुकने का नाम नहीं ले रही हैं.
36,"आगामी फिल्म ‘भेजा फ्राय 2’ को लेकर उत्साहित अभिनेत्री मिनीषा लांबा को लगता है कि कॉमेडी के क्षेत्र में पुरुष आगे हैं और इस विधा में महिलाओं को ध्यान में रखकर ज्यादा किरदार नहीं गढ़े जाते.
मिनीषा का 'भेजा फ्राय 2' में एक अहम किरदार है. उन्होंने कहा, ‘मुझे लगता है कॉमेडी महिलाओं के लिए मुश्किल नहीं है. लेकिन कामेडी फिल्मों में फिलहाल महिलाओं को ध्यान में रखकर ज्यादा किरदार नहीं लिखे जाते. ये भूमिकाएं अधिकतर पुरुष प्रधान ही होती हैं. यह इसलिए क्योंकि पुरुष ऐसे कई मजाकिया संवाद बोल सकते हैं जो महिलाओं पर अच्छे नहीं लगते.’
मिनीषा ने कहा, ‘जैसे कुछ अश्लील या द्विअर्थी चुटकुले, महिलाएं इन्हें बोलते हुए अच्छी नहीं लगेंगी। पुरुष कलाकार द्वारा बोले जाने पर ही ये प्रभाव डालते हैं.’ ‘बचना-ए-हसीनों’ में रोमांटिक, ‘किडनैप’ में रोमांचक, और ‘वेल डन अब्बा’ में राजनीतिक किरदार निभाने के बाद अब मिनीषा ‘भेजा फ्राय 2’ तथा ‘हम तुम और शबाना’ के जरिए कॉमेडी के क्षेत्र में हाथ आजमाने जा रहीं हैं.
सागर बल्लरी के निर्देशन में बनी ‘भेजा फ्राय 2’ 2007 में इसी नाम से बनी सफल फिल्म का सीक्वल है. मिनीषा ने कहा, ‘मैंने पहले ‘भेजा फ्राय’ देखी है. यह फिल्म पहली फिल्म से एकदम अलग है और इसके किरदार नए हैं.’ उन्होंने कहा, ‘एक मात्र मेरा किरदार ही है जिसका भेजा भारत भूषण से ‘फ्राय’ नहीं होता.’ वह उसकी मासूमियत देखता है और उसे समझता है.’",अक्सर पुरुष प्रधान होते हैं कॉमेडी किरदार: मिनीषा,अभिनेत्री मिनीषा लांबा का कहना है कि कॉमेडी के क्षेत्र में पुरुषों की भूमिकाएं अधिकतर महिला प्रधान ही होती हैं.
37,"एथलीटों, मुक्केबाजों और टेनिस खिलाड़ियों के एशियाई खेलों के अंतिम सात दिन में बेहतरीन प्रदर्शन से भारत हर चार साल में होने वाले खेल महाकुंभ में अब तक के सर्वाधिक पदक जीतने में सफल रहा.

भारत ने कुल 14 स्वर्ण, 17 रजत और 33 कांस्य पदक सहित कुल 64 पदक जीते और इस तरह से दिल्ली में 1982 में जीत गये 57 पदक के अपने पिछले रिकार्ड को तोड़कर इतिहास रचा.

पदक तालिका में छठा स्थान भारत का 1986 में सोल एशियाई खेलों के बाद सर्वश्रेष्ठ है लेकिन तब कजाखस्तान, उज्बेकिस्तान और पूर्व सोवियत संघ के देश नहीं हुआ करते थे जिनके आने से मुकाबला और कड़ा हो गया है. कजाखस्तान तो पदक तालिका में भारत से उपर रहा. भारत सोल में पांच स्वर्ण, नौ रजत और 23 कांस्य लेकर पांचवें स्थान पर रहा था.

इसके बाद भारत कभी आठ से उपर नहीं पहुंचा पाया. बीजिंग में 1990 में तो वह केवल एक स्वर्ण पदक जीत पाया था और 12वें स्थान पर रहा था. भारत के 64 पदक हालांकि पिछले महीने राष्ट्रमंडल खेलों के 101 पदक के सामने काफी कम हैं जिसमें 38 स्वर्ण पदक भी शामिल हैं.

लेकिन राष्ट्रमंडल खेलों के तुरंत बाद ही एशियाई खेल शुरू हो गये और इसमें मुकाबला भी काफी कड़ा था तथा प्रतियोगिताएं भी अधिक थी. मेजबान चीन ने लगभग 200 स्वर्ण जीते और 1990 के अपने रिकार्ड 183 स्वर्ण, 107 रजत और 51 कांस्य पदक सहित 341 पदक के रिकार्ड को पीछे छोड़ने में सफल रहा.

भारत के निशानेबाज और पहलवान बुरी तरह असफल रहे जबकि एथलीट, मुक्केबाज, टेनिस खिलाड़ी सोमदेव देववर्मन तथा महिला व पुरुष कबड्डी टीम ने चमकदार प्रदर्शन किया.

तीरंदाज तरूणदीप राय ने भारत को रजत के रूप में पहला व्यक्तिगत पदक दिलाया जबकि ताखड़ ने अपनी स्पर्धा में उधार ली हुई नाव से भारत को पहला स्वर्ण पदक दिया. जिमनास्ट आशीष कुमार ने फ्लोर स्पर्धा में देश को पहला कांसा दिलाकर इस सफलता की शुरूआत की और तैराक वीरधवल खाड़े का प्रदर्शन भी यादगार रहा.

खाड़े ने पुरूष 50 मी बटरफ्लाई का कांसा जीतकर 1986 सोल खेलों के बाद पूल में भारत को पहला पदक दिलाया. तब खजान सिंह टोकस ने 200 मी फ्लाई में रजत पदक जीता था.

भारत ने चीनी मार्शल आर्ट वुशु जैसे खेल में भी चार कांसे अपने नाम किये, जो देश में काफी कम खेला जाता है जबकि एशियाई खेलों में पहली बार शामिल हुए रोलरस्केटिंग में भी भारत ने दो कांस्य जीते .

फ्रीस्टाइल पहलवानों के सुपर फ्लाप शो के अलावा पुरूष हाकी टीम भी तीसरे स्थान पर रही, जिससे स्वर्ण पदक की उम्मीद की जा रही थी.

राष्ट्रमंडल खेलों में दो स्वर्ण जीतने वाली महिला बैडमिंटन खिलाड़ी साइना नेहवाल भी फ्लाप सूची में शामिल रहीं. 14 स्वर्ण में से एथलीटों ने सर्वाधिक पांच जबकि मुक्केबाजी, टेनिस और पुरूष तथा महिला कबड्डी में दो दो सोने के तमगे हासिल किये.

पंकज आडवाणी (बिलियर्डस) ने भारत को यहां पहला स्वर्ण दिलाया, जिसके बाद शीर्ष निशानेबाज रोंजन सोढी और रोअर बजरंग लाल ताखड़ ने पहला स्थान हासिल किया. अश्विनी चिदानंदा महिला 400 मी बाधा दौड़ और चार गुणा 400 मी रिले में दो स्वर्ण पदक जीतकर एथलेटिक्स की नयी ‘गोल्डन गर्ल’ बन गयी.

अनुभवी धाविका प्रीजा श्रीधरन और सुधा सिंह ने महिलाओं की क्रमश: 10,000 मी और 3,000 मी में स्वर्ण जीते . केरल के जोसफ अब्रहाम ने 28 साल के बाद देश को बाधा दौड़ का पहला पदक दिलाया. इससे पहले 1982 एशियाड में चार्ल्स ब्रोमियो ने 800 मीटर बाधा दौड में पदक जीता था.

एथलेटिक्स में भारत ने पांच स्वर्ण, दो रजत और चार कांस्य पदक जीते जो अब तक का दूसरा सर्वश्रेष्ठ प्रदर्शन है इससे पहले इन खेलों में भारत का एथलेटिक्स स्पर्धाओं में सर्वश्रेष्ठ प्रदर्शन 2002 बुसान खेलों में रहा था जहां उसने सात स्वर्ण छह रजत और पांच कांस्य सहित 17 पदक जीते थे.

भारतीय स्टार मुक्केबाज विजेन्दर ने भारतीय अभियान को एक नयी चमक दी. उन्होंने दो बार के विश्व चैम्पियन उज्बेकिस्तान के अब्बोस एतोव को हरा कर स्वर्ण पदक जीता.

युवा मुक्केबाज विकास कृष्ण ने 60 किलो वर्ग में सबसे बड़ा उलटफेर करते हुए खिताब जीता. लंदन ओलम्पिक खेलों में स्वर्ण पदक जीतने का सपना देख रहे विश्व जूनियर और युवा ओलम्पिक चैम्पियन विकास के शानदार प्रदर्शन से भारत ने मुक्केबाजी (महिला और पुरूष) में कुल दो स्वर्ण, तीन रजत और चार कांस्य पदक जीते. पुरूष मुक्केबाज सुरंजय सिंह (52 किलो) और पांच बार की महिला विश्व चैम्पियन एमसी मरीकाम से स्वर्ण पदक की उम्मीद थी, लेकिन वे ऐसा नहीं कर सके.

टेनिस में त्रिपुरा में जन्में युवा खिलाड़ी सोमदेव ने एकल के अलावा युगल मुकाबले का स्वर्ण खिताब जीता. सोमदेव ने एक सप्ताह में 15 मैच खेले जो बहुत बड़ी उपलब्धि है. टेनिस में भारत ने दो स्वर्ण, एक रजत और दो कांस्य पदक जीते.

दो बार के पूर्व विश्व चैम्पियन पंकज आडवाणी ने एक बार फिर स्वर्ण पदक जीत कर भारत को इन खेलों में पहले दिन अच्छी शुरूआत दिलाई जबकि इसके बाद निशानेबाज सोढी ने पुरूषों का ट्रैप खिताब और फिर अप्रत्याशित स्वर्ण पदक नौकायन में ताखड ने दिलाया.","भारत ने आखिर में दिखाया दमखम, पदकों का बनाया रिकार्ड",एशियाई खेलों के अंतिम सात दिन भारत ने अपने पिछले रिकार्ड को तोड़कर इतिहास रचा है.
